,,bcc,,,,,,,,,,,,,,,,,,resp,,,,,,,,,,,,,,,,,
Compound,Temperature,Px(NVT),sigmaPx,Py(NVT),sigmaPy,Pz(NVT),sigmaPz,Rho(NPT),sigmaRho,Epot(NPT),sigmaE,Epot(gas),sigmaE,DHsub,sigmaH,gzip_size,D,S0,RMSD,Px(NVT),sigmaPx,Py(NVT),sigmaPy,Pz(NVT),sigmaPz,Rho(NPT),sigmaRho,Epot(NPT),sigmaE,Epot(gas),sigmaE,DHsub,sigmaH,gzip_size,D,S0,RMSD
123-benzenetriol,277,3488.96,614.254,5406.52,200.882,10563.3,746.235,1449.91,0.277217,-117.957,0.248908,-20.6744,9.50947,92.6766,9.51273,563283,0,0.982392,0.0620974,3124.23,612.699,4556.01,203.809,9435.6,768.81,1487.14,0.253074,-96.1287,0.241949,-6.5553,9.43584,84.9674,9.43894,561239,-0,0.990331,0.0268726
123-benzenetriol,295,4014.33,660.12,5882.37,216.169,10971,770.238,1444.35,0.250377,-114.842,0.261967,-18.079,10.1559,91.8577,10.1593,564232,-0,0.981184,0.0622855,3527.15,658.566,4957.55,201.701,9757.91,745.232,1481.49,0.263319,-92.9909,0.256541,-3.56202,10.0774,84.5235,10.0807,561631,0,0.989503,0.0274291
123-benzenetriol,403,6634.78,733.111,8482.06,252.335,13473,837.627,1408.12,0.330107,-95.8163,0.361941,-2.79245,13.7915,86.3226,13.7962,568609,0,0.972877,0.0636776,6260.65,738.993,7551.04,257.103,12192,869.308,1443.91,0.320577,-73.635,0.363349,11.7802,13.7965,78.714,13.8013,566088,-0,0.983136,0.0320375
123-benzenetriol,445,7624.16,725.723,9479.03,273.535,14411.3,963.268,1391.06,0.486397,-87.9538,0.398291,2.84917,15.5309,83.4034,15.536,570356,0.0002,0.965128,0.0668586,7284.75,823.747,8528.57,268.869,13093.7,1001.46,1426.53,0.443482,-65.4512,0.407168,17.5706,15.4986,75.6222,15.5039,568256,0,0.979148,0.0384016
123-benzenetriol,482,8524.15,825.574,10357.4,289.207,15274.5,1029.25,1373.24,0.874192,-80.5961,0.461703,8.88674,16.865,81.468,16.8713,571814,0.0004,0.948905,0.0694739,8100.63,823.696,9391.27,282.093,13874.1,992,1175.37,0.87772,-33.6035,0.471273,24.0514,17.1421,49.6401,17.1486,580493,1.6393,0.000567186,0.271335
12-benzenediol,100,2836.11,299.26,563.611,291.405,5709.5,353.918,1406.08,4.41647,-109.354,0.0992704,-14.2884,3.28516,93.4028,3.28666,29,-0.0006,0.997113,0.0138131,3793.74,327.6,-1074.03,308.578,9508.36,384.418,1411.1,8.03249,-42.5963,0.133317,65.2648,3.22602,106.198,3.22877,29,0.0003,0.997265,0.0120122
12-benzenediol,293,7532.02,533.734,4553.07,566.262,11324.6,596.366,1355.07,0.272647,-79.1694,0.257375,10.7225,10.0068,85.0198,10.0101,495530,-0,0.990418,0.0208056,8224.15,533.183,2920.58,543,14831.9,603.88,1363.41,0.298746,-12.5984,0.256526,73.5134,9.43507,81.2397,9.43856,495516,0,0.99136,0.0191567
12-benzenediol,300,7643.77,547.899,4658.33,547.486,11560.7,593.213,1353.05,0.298834,-78.0341,0.263274,11.9794,9.8994,85.025,9.9029,496092,-0,0.990108,0.0210883,8301.75,524.23,3003.97,525.467,15024,634.256,1361.6,0.305919,-11.4769,0.268167,74.8346,9.80254,81.323,9.80621,495558,0,0.991121,0.0193996
12-benzenediol,377,9390.51,566.033,6247.67,595.948,13694.6,649.015,1328.83,0.374601,-65.4593,0.335271,20.2999,12.4175,79.4903,12.422,498333,-0,0.986519,0.0240779,10043.3,580.511,4635.12,587.875,17086,649.321,1340.69,0.380057,0.999681,0.332849,84.3916,12.2089,77.123,12.2134,497890,-0,0.988261,0.0221067
12-benzenediol,467,11536.8,656.203,8156.44,687.454,16217,769.559,1297.32,0.505144,-50.1867,0.414269,34.1326,15.7855,76.5539,15.7909,500724,-0,0.981164,0.0278503,12034.4,630.125,6452.92,676.263,19569.6,783.49,1310.41,0.478581,16.1752,0.414621,97.1656,15.6477,73.225,15.6532,500052,0,0.983888,0.02552
12-benzenediol,506,12357.5,691.96,8921.18,703.054,17263,848.827,1280.06,0.593682,-43.1471,0.457076,38.3747,16.911,73.1079,16.9172,501402,0,0.976985,0.0303367,12937.5,656.107,7295.95,676.068,20539.3,791.226,1294.77,0.488762,23.0781,0.448038,102.275,17.3209,70.783,17.3267,501258,0,0.981229,0.0271301
14-benzoquinone,173,-220.248,553.188,7533.02,768.513,4669.89,226.776,1347.64,0.262271,-54.4133,0.17147,23.682,5.41403,75.2186,5.41674,301643,0,0.99171,0.0291235,-516.757,532.53,8801.7,769.954,5075.23,199.395,1340.58,0.32263,12.409,0.166201,87.0714,5.58245,71.7857,5.58492,301937,-0,0.992176,0.0311127
14-benzoquinone,280,1704.48,674.345,10304.6,983.666,6150.61,315.19,1312.62,0.496084,-39.2715,0.270765,35.0177,8.37832,69.6333,8.38269,304578,0,0.984259,0.0313648,1269.4,638.803,10153.7,979.939,5851.61,293.027,1305.16,0.485872,27.5976,0.278328,98.8523,8.64893,66.5988,8.65341,304845,0,0.984797,0.0327809
14-benzoquinone,293,1819.49,723.864,10422,977.475,6076.26,315.887,1307.82,0.486092,-37.3954,0.284462,36.1894,9.03139,68.7127,9.03587,304915,-0,0.983281,0.0317246,1500.36,702.572,10490.6,1001.66,6108.68,297.342,1300.41,0.579582,29.4843,0.288757,100.084,9.3264,65.7276,9.33087,305036,0,0.983689,0.033103
14-benzoquinone,388,3213.81,815.952,11670.9,1100.6,7034.56,356.617,1268.99,0.624292,-23.347,0.380931,45.8689,11.5449,62.7641,11.5512,306992,0,0.974245,0.0352721,3324.22,793.293,12449.7,1039.22,7927.34,358.002,1261.22,0.532591,43.6088,0.383294,111.369,12.1145,61.3084,12.1206,307126,-0,0.974332,0.036392
14-benzoquinone,481,4979.95,961.615,13732.8,1260.72,8865.3,409.632,1221.74,0.691105,-8.71032,0.468074,56.66,14.3749,57.3721,14.3825,308211,0.0001,0.958438,0.0525088,5165.59,915.079,14448.5,1210.29,9756.09,402.52,1212.25,0.825373,58.4326,0.478179,120.158,14.5614,53.7272,14.5692,308991,0.0005,0.952478,0.0864998
14-benzoquinone,521,5820.59,961.134,14597.6,1300.37,9659.09,423.673,1195.36,0.923265,-1.84999,0.505531,61.606,15.764,54.7926,15.7721,309741,0.0008,0.93944,0.12281,5958.53,955.184,15121.6,1312.28,10490.4,419.819,1182.94,0.978082,65.6197,0.515769,125.518,15.9781,51.235,15.9864,310029,0.0036,0.885931,0.215075
acetamide,295,-309.002,609.111,-355.019,619.361,-2139.26,329.879,1160.01,0.342707,-275.277,0.189866,-202.257,6.89343,68.1147,6.89604,360910,-0,0.978545,0.0363904,-2717.11,604.357,-2692.02,611.097,-2478.84,334.042,1177.56,0.274756,-552.136,0.191145,-479.013,7.02504,68.2177,7.02764,361170,-0,0.978095,0.0358639
acetamide,300,-259.258,555.99,-214.826,601.373,-2046.98,326.177,1157.91,0.287743,-274.752,0.190152,-202.039,6.91768,67.7245,6.92029,361169,-0,0.978015,0.0365261,-2555.04,571.024,-2583.35,569.361,-2374.31,315.981,1175.37,0.278362,-551.603,0.195113,-477.952,7.09564,68.6625,7.09832,361291,0,0.977581,0.0359681
acetamide,354,1039.48,648.901,1031.93,674.751,-718.457,383.06,1134.45,0.382525,-268.993,0.229645,-198.654,8.12099,64.4526,8.12424,362525,-0,0.971602,0.0379322,-1267.27,644.931,-1250.09,624.102,-1062.44,349.865,1151.3,0.329174,-545.771,0.228858,-475.277,8.14069,64.6076,8.14391,362600,0,0.970913,0.0374371
acetamide,374,1517.22,642.724,1544.64,687.894,-202.969,384.2,1124.73,0.480325,-266.757,0.24336,-197.278,8.69338,63.26,8.69679,362895,0,0.96729,0.0385762,-710.645,686.256,-764.183,661.294,-542.302,375.927,1141.9,0.422951,-543.563,0.243523,-474.025,8.63433,63.319,8.63776,363094,0,0.968435,0.038116
acetamide,405,2268.68,685.083,2269.33,688.84,569.576,394.989,1108.82,0.660713,-263.247,0.266244,-195.23,9.40654,61.2825,9.41031,363661,-0,0.957332,0.0398299,28.284,641.278,54.0781,648.682,236.76,391.491,1125.41,0.593951,-539.97,0.266947,-471.322,9.50809,61.9135,9.51184,363463,0,0.962556,0.0391458
acooh,239,2895.73,641.408,1661.88,322.141,3165.3,647.8,1231.19,0.386111,-244.589,0.158255,-182.072,5.12728,58.5428,5.12972,269379,0,0.969154,0.073287,3136.89,660.708,1542.22,371.257,1750.57,658.035,1233.24,0.377222,-311.341,0.15836,-252.706,5.05143,54.6608,5.05391,269721,0,0.970112,0.065665
acooh,278,4032.68,731.748,2785.7,397.058,3280.71,685.466,1213.21,0.292257,-241.281,0.182741,-179.666,5.99181,56.9923,5.9946,270409,0,0.963502,0.0779301,5132.98,713.162,3261.2,368.864,4902.91,637.506,1207.01,0.302423,-307.726,0.180619,-250.517,5.85705,52.5863,5.85983,270339,0,0.956448,0.0752228
acooh,289,3908.68,711.684,2957.41,404.632,7077.7,690.316,1206.29,0.409836,-240.07,0.19291,-179.439,5.98879,55.8254,5.9919,270713,0.0001,0.962685,0.0786063,4772.01,728.608,3227.43,384.516,3776.3,729.032,1201.25,0.426575,-306.654,0.189858,-250.261,6.06972,51.5874,6.07269,270594,0.0001,0.955413,0.0773408
acooh,290,4191.07,713.619,3229.3,371.797,5133.22,677.892,1207.09,0.437396,-240.188,0.191218,-178.998,6.29365,56.3678,6.29655,270674,0.0001,0.959454,0.0768218,4737.77,720.809,3318.66,393.392,4818.9,715.061,1199.21,0.438499,-306.489,0.189786,-249.935,6.2519,51.7318,6.25478,270759,0,0.953434,0.0770804
acooh,329,4870.63,752.879,4245.11,399.747,5738.63,720.104,1185.89,0.49149,-236.441,0.217739,-176.978,7.07776,53.9923,7.08111,271544,0.0001,0.946466,0.078875,5393.86,732.027,4371.42,414.695,6077,779.894,1171.88,1.24866,-302.197,0.24793,-248.092,6.97948,48.6343,6.98388,271303,-0,0.912575,0.0803429
acooh,356,5606.52,774.631,5020.33,434.872,6618.3,812.529,1167.73,0.521864,-233.569,0.238655,-175.733,7.5363,51.9163,7.54008,272026,0,0.930109,0.0798357,6037.15,809.573,5189.08,441.954,6612.69,765.845,1057.69,1.2911,-293.873,0.31806,-246.211,7.48006,41.7423,7.48682,274162,1.0071,-0.000890359,0.173883
benzene,218,656.287,334.226,115.697,665.777,790.117,393.641,1042.14,0.885936,2.58646,0.178849,45.4449,6.1847,39.2335,6.18729,406344,0.005,0.302372,0.191883,1086.47,352.37,1024.01,643.039,1363.94,389.007,1025.81,0.648476,2.81218,0.180024,41.995,6.2498,35.5579,6.25239,406159,0.0019,0.0228672,0.192529
benzene,270,1898.1,410.314,1495.51,714.749,2122.99,460.664,1005.83,1.03127,10.5243,0.222557,51.1535,7.86191,36.1396,7.86506,408115,0.0002,-0.00374104,0.196107,2359.24,401.101,2499.76,753.446,2764.93,454.511,982.997,1.3489,11.0405,0.222032,47.5628,7.84084,32.0327,7.84398,408242,0,0.000932235,0.194946
benzene,271,1901.99,393.139,1529.58,732.617,2139.94,450.214,1005.18,0.984001,10.6824,0.221101,50.7657,7.84286,35.577,7.84598,408415,0.0003,0.00219317,0.196243,2409.86,396.683,2577.76,759.736,2814.73,455.141,981.937,0.950102,11.21,0.223055,47.3905,7.73079,31.6742,7.73401,408092,-0,-0.00181084,0.197385
benzene,279,2104.42,420.09,1758.36,742.568,2340.56,457.239,998.672,0.890744,11.9712,0.22959,51.6546,8.07588,35.0441,8.07914,408348,0.0001,-0.000662256,0.19693,2590.23,414.402,2774.33,770.48,3002.75,452.022,973.453,1.36854,12.5832,0.233039,48.1826,7.94906,30.9601,7.95248,408536,0,0.00113605,0.198881
benzene,293,2454.48,407.892,2184.66,774.853,2721.6,453.63,986.925,1.27316,14.2628,0.245726,52.6121,8.35992,33.4772,8.36353,409036,0,-0.00162946,0.197296,2933.35,428.93,3166.99,754.354,3352.48,454.935,839.893,0.97117,22.4771,0.231222,49.114,8.33117,21.7648,8.33438,414077,2.9385,0.000219641,0.207564
cyclohexane,93,3968.67,352.988,-934.673,367.042,1881.78,188.312,984.469,0.17472,-16.3161,0.0984336,36.6177,3.32748,51.3874,3.32894,497703,0,0.996317,0.0142873,4075.83,343.379,-962.222,347.767,1919.1,196.055,984.185,0.189659,-18.7451,0.0997616,34.2389,3.3941,51.4376,3.39557,497345,0,0.996304,0.0143703
cyclohexane,115,4555.35,368.558,-286.852,398.38,2595,225.587,976.467,0.220582,-12.3041,0.123629,40.6516,4.21765,51.0434,4.21946,500064,0,0.995179,0.0154371,4622.01,387.052,-338.154,404.032,2614.63,218.92,976.193,0.269617,-14.734,0.120596,37.836,4.20192,50.6577,4.20365,499841,-0,0.995161,0.0155392
cyclohexane,260,8059.53,562.822,3511.25,588.377,6936.53,336.469,819.564,0.480238,23.6426,0.273575,62.3992,9.19295,34.4332,9.19702,511308,0,-0.000969441,0.222519,8187.34,573.648,3481.22,594.627,6997.04,339.828,819.219,0.539673,21.1904,0.278252,60.1397,9.42353,34.6259,9.42764,511443,0,0.000601477,0.22272
cyclohexane,266,8229.22,583.037,3643.59,578.118,7110.99,358.477,815.91,0.538145,24.8313,0.276055,62.6097,9.39981,33.3553,9.40386,511898,0,0.000506128,0.222397,8339.19,581.308,3645.67,561.131,7196.26,334.855,815.642,0.509732,22.3878,0.280169,59.8887,9.22728,33.0778,9.23153,512087,-0,-0.000553054,0.222477
cyclohexane,280,8559.65,612.483,4021.5,635.255,7552.35,365.107,807.373,0.519936,27.6285,0.295364,65.3825,10.1335,33.0981,10.1378,512254,-0,0.000407026,0.222668,8688.98,605.425,4007.3,612.684,7599.47,363.332,807.237,0.359272,25.1591,0.290655,62.824,10.1982,33.009,10.2023,512584,0,-0.000102735,0.222212
cyclohexane,288,8752.49,602.238,4175.11,640.68,7765.86,359.942,802.487,0.449846,29.2138,0.303838,66.5918,10.3027,32.589,10.3072,512418,0,-0.000246387,0.222107,8861.41,601.665,4235.55,647.861,7846.37,351.884,802.066,0.506273,26.7695,0.298109,64.783,10.5285,33.2245,10.5327,513151,0,-0.000629541,0.222565
ethane,85,809.628,222.724,-603.675,325.41,-776.997,321.402,717.323,0.703011,-11.3091,0.058838,9.05928,1.80405,18.955,1.80501,243460,0,0.925109,0.0694536,819.241,217.384,-627.071,304.904,-801.795,291.386,717.012,0.587277,-15.177,0.0577358,5.06539,1.77517,18.829,1.77611,243439,0,0.921374,0.0693928
ethane,90,407.466,308.661,-1030.06,431.919,-1147.23,418.88,710.805,0.735157,-10.7736,0.0643518,8.91293,1.82797,18.19,1.8291,243771,0,0.91267,0.0846142,1010.05,287.309,-449.577,393.583,-613.981,358.44,710.686,0.551397,-14.6452,0.062408,5.11507,1.82463,18.2637,1.8257,243931,0,0.911252,0.0876212
ethane,100,1663.02,315.951,156.877,384.35,-8.26812,381.599,656.694,0.538432,-7.93144,0.0651139,9.60749,2.06359,15.8761,2.06462,245044,0,-0.000481497,0.133033,1585.92,349.2,93.9,410.469,-106.593,395.916,656.999,0.592292,-11.8233,0.0649974,5.78328,2.08933,15.9438,2.09034,244796,0,-3.61078e-05,0.133204
ethane,111,2565.47,206.57,1005.43,297.12,808.589,305.155,645.234,0.498083,-6.90323,0.0711556,9.94593,2.24744,15.0034,2.24857,245634,0,0.000433752,0.133247,2487.54,236.514,925.412,350.76,766.505,374.167,643.001,0.729767,-10.7037,0.0716488,6.38814,2.32858,15.2461,2.32968,246606,0.0046,0.000235868,0.13309
ethane,120,3030.12,225.978,1418.4,345.214,1268.07,328.661,633.675,0.697464,-6.01285,0.0753737,10.8421,2.60545,14.8596,2.60654,247092,0,0.000139621,0.133414,3057.36,211.629,1438.48,350.267,1281,358.918,634.076,0.864156,-9.90781,0.0775895,6.78783,2.4502,14.7002,2.45143,247416,0,0.000168044,0.133303
ethanol,87,-514.545,334.708,-926.405,249.891,2108.67,333.998,1026.7,0.184195,-60.1963,0.0578232,-6.87063,2.21998,51.879,2.22073,312830,0,0.988859,0.0194972,-432.016,303.142,-807.902,234.563,1735.64,302.997,1026.54,0.157038,-121.722,0.0592246,-70.4356,2.11059,49.8397,2.11142,313094,0,0.988347,0.0201733
ethanol,159,1774.9,435.771,1662.92,322.089,4086.63,414.688,992.324,0.359587,-53.214,0.108468,-1.68944,3.92895,48.8807,3.93045,317001,0,0.972358,0.039881,1997.92,466.99,1860.75,329.646,3655.11,437.736,988.549,0.366237,-114.703,0.109549,-65.98,3.92948,46.0791,3.93101,317389,0,0.966771,0.0409612
ethanol,200,3027.88,486.491,3159.46,372.786,5097.63,487.607,953.243,0.445061,-48.0605,0.137462,1.04097,4.7227,45.7758,4.7247,318818,0,0.923951,0.0541982,3283.55,513.075,3461.18,362.753,4661.01,462.595,894.367,9.3163,-105.999,0.435253,-63.5463,4.8323,39.127,4.85186,321245,0.0879,0.191307,0.162371
ethanol,216,3571.03,513.699,3777.36,404.225,5576.78,495.268,870.566,0.631259,-41.669,0.161593,2.34052,5.29579,40.4178,5.29825,322384,0.1212,0.1015,0.162582,3766.2,542.076,4102.27,394.984,5035.07,501.048,871.01,0.553815,-103.466,0.165001,-62.0706,5.27062,37.8037,5.2732,322899,0.1928,0.0421251,0.162537
12-ethanediamine,243,-4722.92,713.05,-5909.55,644.361,-5520.09,674.733,1199.55,0.584647,37.0892,0.218601,107.091,7.11283,65.9611,7.11619,338560,0.0002,0.988727,0.0379253,-4850.43,659.756,-4660.18,549.572,-3835.38,575.006,1205.16,0.358319,75.3808,0.21152,139.253,7.46964,59.8315,7.47263,338876,-0,0.99228,0.0222823
12-ethanediamine,263,-3716.53,716.518,-3347.72,724.847,-3042.77,758.513,1165.13,0.957481,41.5067,0.247992,109.129,7.76876,63.2491,7.77272,338845,0.0013,0.939246,0.102981,-3718.82,709.584,-2865.12,688.092,-2194.59,704.37,1133.19,13.4873,84.2814,1.04201,141.226,7.80704,52.5714,7.87627,339088,0.0081,0.636377,0.138213
12-ethanediamine,275,-2964.07,704.521,-1982.19,724.434,-1742.58,668.317,1123.95,6.72584,44.8134,0.320571,110.094,8.11153,60.7078,8.11786,339610,0.0064,0.756321,0.190633,-2095.95,992.564,-473.174,942.937,-87.3727,871.318,1061.07,0.932497,91.092,0.289796,142.28,8.12618,46.6152,8.13135,341932,0.0665,0.0552472,0.20945
12-ethanediamine,284,-2387.92,830.971,-1012.6,783.782,-1080.93,782.409,1095.05,1.35291,48.0619,0.317059,111.744,8.50156,58.9597,8.50747,340623,0.0131,0.562194,0.207382,-96.7933,1175.21,1460.45,806.594,1488.99,794.331,1052.29,0.948785,92.9684,0.295393,143.739,8.49169,46.0482,8.49683,342257,0.1043,0.0142994,0.207699
12-ethanediamine,298,-675.214,898.945,478.066,652.683,513.484,682.734,1082.4,1.27286,51.1718,0.33938,112.878,8.7511,56.751,8.75768,342127,0.0277,0.278257,0.205516,1658.06,1250.58,2915.78,816.528,2837.72,770.561,1039.6,0.763296,95.7166,0.303751,145.282,8.86158,44.6102,8.86678,342651,0.2063,0.00420399,0.208206
ethylene,85,-3434.78,318.218,-3891.2,240.073,-3451.51,276.028,756.484,0.480274,7.75844,0.0579402,23.1144,1.39068,13.9426,1.39189,146247,0.001,0.437577,0.099412,-3492.86,396.349,-4430.42,273.709,-3092.36,290.622,780.441,0.5209,25.7651,0.0549253,43.3249,1.38661,16.1464,1.3877,146351,0.0003,0.858754,0.0900021
ethylene,90,169.055,415.823,-92.76,278.069,459.127,225.834,689.401,1.07008,10.3688,0.0588961,23.3553,1.49859,11.49,1.49975,147400,0.0075,0.000499621,0.114768,-2774.22,478.02,-3647.18,299.038,-2349.03,268.899,774.311,0.484671,26.1533,0.0596477,43.4304,1.46402,15.7806,1.46523,146386,0.0007,0.735513,0.0972177
ethylene,104,822.796,482.209,682.146,310.681,1338.09,268.535,645.958,1.03106,12.1053,0.0634126,23.8038,1.66241,9.96916,1.66362,148154,1.5425,-8.70259e-06,0.114946,-2463.28,454.49,-3313.63,369.888,-2032.27,365.527,747.36,1.5866,27.6284,0.0877333,43.952,1.7094,14.5943,1.71165,146880,0.0003,0.0268202,0.105794
ethylene,128,3103.73,489.44,3979.66,370.695,3788.67,386.666,600.581,0.955389,14.0654,0.0709649,24.6087,2.12394,8.41488,2.12513,148807,3.2529,9.9002e-05,0.115033,-1509.3,699.447,-2289.33,612.388,-1039.19,622.215,617.067,1.50989,33.0756,0.0800139,44.7382,2.12559,9.53418,2.1271,148574,2.7621,7.63074e-05,0.11507
ethylene,138,4509.39,444.644,4538.35,440.499,4521.04,449.722,580.826,1.56085,14.8772,0.0772794,24.9214,2.30065,7.74949,2.30195,149152,4.3205,-5.1497e-06,0.115062,-681.312,866.754,-1347.42,816.965,-99.0808,841.512,598.271,0.987878,33.9411,0.0820736,45.0794,2.33869,8.84359,2.34013,148981,3.5258,-6.14371e-05,0.115052
ethyleneglycol,130,-2511.23,447.173,-1755.75,412.685,-1062.4,482.9,1306.51,0.249613,-11.4871,0.105855,65.0154,3.41189,74.3408,3.41353,273352,-0,0.992828,0.0158737,-3192.75,455.496,-2598.67,394.832,-2144.3,493.092,1313.72,0.218808,27.4397,0.105125,109.725,3.46616,80.1236,3.46775,273700,0,0.993333,0.0176037
ethyleneglycol,260,2001.46,666.024,3072.66,572.753,2593.15,700.142,1248.82,0.526747,3.23592,0.217467,75.5934,6.87495,68.0341,6.87839,277994,0,0.980403,0.0228777,1228.2,676.512,2096.42,590.219,1439.54,714.98,1264.8,0.375888,41.8369,0.213593,120.09,6.83347,73.9297,6.83681,277842,0,0.983337,0.0231967
ethyleneglycol,261,1969.96,668.025,3119.2,569.946,2599.45,752.554,1248.46,0.516957,3.34193,0.219871,75.7515,6.94801,68.0696,6.95149,278117,0,0.98031,0.0228258,1157.65,678.65,2026.17,590.041,1542.93,710.692,1264.59,0.404323,41.9237,0.21498,120.306,6.94793,74.0423,6.95126,278019,0,0.983314,0.0230663
ethyleneglycol,283,2822.73,715.651,3976.81,592.926,3174.73,739.87,1235.73,0.668525,6.18138,0.239659,78.0644,7.60379,67.1772,7.60757,278672,0,0.976393,0.0259355,1981.92,657.221,2913.78,621.018,2111.2,736.271,1255.25,0.481413,44.5433,0.237992,122.305,7.55805,73.0559,7.5618,278804,0,0.980916,0.024306
formamide,223,2929.64,305.942,4521.96,1320.83,750.446,726.607,1466.1,0.466424,-191.423,0.160683,-122.71,3.88829,65.0049,3.89161,137320,0,0.978364,0.0220867,3223.36,325.006,4357.22,1304.22,3021.93,724.923,1460.44,0.481832,-218.875,0.159876,-150.621,4.0106,64.5459,4.01379,137305,0,0.976646,0.025304
formamide,270,5021.85,352.024,8007.64,1361.58,3674.99,849.94,1440.57,0.637503,-187.582,0.195751,-120.653,4.8832,62.4394,4.88712,137723,0.0003,0.94769,0.0564573,5334.32,362.993,8660.35,1342.86,5875.86,801.953,1436.82,0.802095,-215.425,0.201396,-148.86,4.83139,62.0754,4.83559,137785,0.0002,0.950566,0.0594831
formamide,296,6242.7,378.437,10491.7,1446.52,5524.22,940.686,1427.68,0.629415,-185.613,0.209657,-119.932,5.17333,60.759,5.17758,138045,0.0005,0.91608,0.070661,6682.55,376.307,11038.9,1496.62,7347.46,924.437,1431.24,1.39111,-214.144,0.273037,-147.813,5.34156,61.409,5.34853,138232,0.0003,0.939839,0.0661661
formamide,298,6511.09,399.109,11153.7,1481.24,5772.91,846.79,1426.82,1.05416,-185.447,0.227315,-119.717,5.39129,60.7748,5.39608,138128,0.0005,0.91233,0.0634095,6795.05,387.921,11550,1538.51,7609.31,833.241,1431.82,0.785488,-214.296,0.222437,-147.908,5.1662,61.4328,5.17099,138080,0.0003,0.936445,0.0685946
formamide,361,9603.92,435.348,14610.8,1686.67,8795.24,973.731,1398.78,0.805876,-180.889,0.258846,-117.235,6.40283,57.6512,6.40806,138836,0.0001,0.824121,0.0687127,9625.87,458.342,13244.6,1623.29,10104.8,907.562,1393.97,0.777911,-208.472,0.26391,-145.365,6.54573,57.1042,6.55105,138572,0,0.820107,0.069082
formamide,391,10870,463.985,14981.5,1737.68,9971.22,986.355,1384.97,0.767662,-178.689,0.282094,-116.392,6.97362,55.7953,6.97932,139120,0,0.814692,0.0712088,10923.6,483.331,13904.2,1668.55,11153.4,943.755,1379.78,0.631327,-206.244,0.283189,-144.128,7.07005,55.6143,7.07572,138962,0,0.810918,0.0718045
formic_acid,98,9653.28,677.81,304.308,174.551,-2214.43,436.846,1553.88,0.26481,-155.716,0.0524928,-92.7977,1.5315,61.2887,1.5324,158694,0,0.990718,0.0181173,11742.3,682.88,2168.91,171.375,6.21851,404.361,1523.24,0.242665,-141.364,0.052761,-84.5952,1.50607,55.1392,1.50699,159029,0,0.989349,0.0126718
formic_acid,270,12339.5,1148.35,7315.16,319.199,7399.39,737.503,1444.33,3.98822,-145.43,0.236585,-87.8862,4.15775,53.0542,4.16448,163610,0,0.956762,0.0445277,16176.2,1199.83,9462.18,308.781,10064.4,801.524,1401.32,1.02672,-130.977,0.153061,-79.4482,4.24978,47.0392,4.25254,164117,-0,0.942131,0.0472612
formic_acid,282,14494.1,1205.61,7911.44,311.314,7609.47,735.384,1439.44,0.797052,-144.805,0.155366,-87.2883,4.54129,52.8275,4.54395,163915,0,0.951903,0.045536,16555.1,1188.82,10004,306.342,10585.2,761.642,1385.03,1.06465,-129.864,0.162594,-79.1917,4.32248,45.9831,4.32554,164430,0.0001,0.930714,0.0491208
formic_acid,298,15050.7,1243.16,8578.56,323.571,8300.1,752.493,1424.55,1.03581,-143.571,0.169239,-86.9081,4.8889,51.7077,4.89183,164327,0,0.94325,0.0469739,16985.2,1189.22,10691.2,343.051,11143.9,780.328,1239.22,1.42626,-121.58,0.246697,-78.5856,4.69246,38.0392,4.69894,167923,1.114,-0.000361916,0.137689
formic_acid,323,15746.9,1233.57,9614,353.739,9221.11,858.89,1390.79,1.67599,-141.103,0.197774,-86.1555,5.11588,49.5766,5.1197,164780,0.0002,0.9076,0.0521466,16357.3,1257.74,11572.9,376.926,12288.3,813.754,1227.01,3.51047,-121.773,0.499474,-77.887,5.13926,38.5151,5.16347,167834,1.2832,0.000336866,0.137434
imidazole,173,-48.2977,314.259,-2556.76,566.439,412.376,548.966,1335.42,0.326407,-73.2373,0.11698,1.35643,4.28456,71.717,4.28616,331473,0,0.984854,0.0165854,1253.8,347.758,-1989.1,617.637,1647.54,644.883,1324.26,0.337239,-58.2828,0.119597,10.8286,4.24032,66.2347,4.24201,331648,0,0.980363,0.0194337
imidazole,300,3221.06,470.144,784.249,810.599,2546.25,824.823,1269.87,0.71149,-59.5151,0.202391,10.3531,7.27723,64.8797,7.28004,335998,0,0.964054,0.0259921,4703.94,449.03,1514.43,745.538,3859.48,770.369,1261.33,0.657636,-44.47,0.205756,20.45,7.60624,59.9315,7.60902,335597,0,0.952862,0.0297442
imidazole,349,4524.24,492.5,2070.37,840.392,3458.25,846.597,1241.56,0.732234,-53.5612,0.245019,13.9387,8.61285,61.6966,8.61633,337343,0.0001,0.95008,0.0331946,5976.91,492.497,2852.15,858.041,4790.08,845.22,1093.53,1.06444,-27.8286,0.246504,23.3329,8.44297,45.3582,8.44657,339940,1.2156,-0.000759561,0.169363
imidazole,364,4874.9,494.49,2416.8,850.342,3679.59,819.345,1231.37,0.89814,-51.6447,0.261128,14.5815,8.71397,60.1735,8.71788,337505,0.0001,0.943114,0.0351825,6382.66,494.253,3265.59,842.061,5171.26,808.492,1078.98,0.967274,-25.7844,0.258505,25.0565,8.93476,44.7882,8.9385,340320,1.5057,-0.000322136,0.169612
