,,bcc,,,,,,,,,,,,,,,,,,resp,,,,,,,,,,,,,,,,,
Compound,Temperature,Px(NVT),sigmaPx,Py(NVT),sigmaPy,Pz(NVT),sigmaPz,Rho(NPT),sigmaRho,Epot(NPT),sigmaE,Epot(gas),sigmaE,DHsub,sigmaH,gzip_size,D,S0,RMSD,Px(NVT),sigmaPx,Py(NVT),sigmaPy,Pz(NVT),sigmaPz,Rho(NPT),sigmaRho,Epot(NPT),sigmaE,Epot(gas),sigmaE,DHsub,sigmaH,gzip_size,D,S0,RMSD
ethyne,152,-5466.89,17395,-5469.12,17382.3,-5458.84,17382.7,830.631,0.00494149,-14.6174,0.077345,13.3821,3.67251,25.472,3.67332,113947,0,0.998383,0.00296406,-6851.38,11297.8,-6833.82,11291.5,-6845.53,11278.1,809.574,2.06778,-6.35763,0.0871853,29.5407,3.70126,33.3708,3.70229,118752,0,0.96594,0.0121425
ethyne,162,-5077.02,6030.22,-5086.8,6017.06,-5080.87,6027.49,830.614,0.0139591,-14.2027,0.0812771,13.6438,3.8727,25.1527,3.87355,114167,0,0.998306,0.00300104,-6474.09,3266.84,-6458.51,3267,-6470.52,3263.61,804.31,0.399701,-5.82836,0.0821144,29.8209,3.81578,32.9555,3.81666,118960,0,0.962782,0.0126989
ethyne,172,-4865.19,2977.11,-4894.62,2982.54,-4881.19,2978.23,830.614,0.00782883,-13.7899,0.0870553,13.8664,4.17849,24.7962,4.1794,114246,0,0.998244,0.00302318,-6806.53,1379.32,-6819.4,1394.19,-6807.08,1384.91,800.62,0.854608,-5.32258,0.0899346,30.1041,4.10428,32.5666,4.10527,119248,0,0.959961,0.0131185
ethyne,182,-4793.25,1773.49,-4789.65,1750.83,-4781,1739.56,830.585,0.00759793,-13.3733,0.0916858,14.1547,4.38725,24.5016,4.38821,114388,0,0.998174,0.00304837,-6368.84,1304.79,-6375.35,1305.18,-6335.55,1282.62,796.601,0.417645,-4.80653,0.0905085,30.258,4.34259,32.0382,4.34353,119336,0,0.956022,0.0137463
ethyne,188,-4724.33,2181.42,-4740.82,2191.41,-4707.34,2168.97,830.598,0.0173807,-13.1205,0.0930239,14.4497,4.43715,24.4441,4.43813,114480,0,0.998148,0.00305888,-6231.65,1604.68,-6244.21,1563.55,-6248.57,1572.36,793.423,0.699639,-4.47138,0.0960906,30.6332,4.56927,31.9785,4.57028,119510,-0,0.952206,0.0143624
ethyne,192,-4753.59,1567.5,-4745.94,1574.7,-4752.73,1574.53,830.577,0.017941,-12.9543,0.0966743,14.5946,4.6865,24.3563,4.6875,114607,0,0.998122,0.00306683,-6404.28,738.275,-6407.52,760.008,-6430.95,768.008,791.919,0.752838,-4.26428,0.098874,30.7431,4.66796,31.8147,4.66901,119461,0,0.952174,0.0143791
ethyne,209,-4930.73,1947.1,-4903.99,1938.38,-4908.21,1946.48,830.554,0.00857076,-12.2495,0.106641,15.0618,5.09213,23.836,5.09325,114710,0,0.997986,0.00313541,-6562.24,1414.89,-6569.84,1422.7,-6575.95,1396.63,784.663,0.392032,-3.34152,0.104345,31.1373,4.99314,31.0035,4.99423,119788,0,0.943442,0.0165593
ethyne,227,-4832.12,1399.26,-4838.79,1390.52,-4841.94,1398.23,830.528,0.0145775,-11.4983,0.11847,15.5262,5.4977,23.2499,5.49898,115028,0,0.997858,0.00318531,-6079.33,1161.47,-6099.7,1139.84,-6067.37,1123.77,776.482,0.858903,-2.32763,0.119853,31.8043,5.51836,30.3573,5.51966,119899,0,0.931964,0.0271969
furan,98,-1470.64,442.238,-1498.42,453.817,-1467.74,467.123,1209.66,0.631174,9.77503,0.0865779,49.175,2.43148,37.7704,2.43302,198490,0.0003,0.930018,0.157085,-429.407,112.035,-2810.59,642.87,-2781.82,548.273,1226.04,0.519726,5.43805,0.0868502,45.8861,2.35571,38.8185,2.35731,198419,0.0001,0.967902,0.100615
furan,108,3.39194,128.442,-2085.27,688.652,-3116.51,594.078,1226.94,0.419159,8.92062,0.0940398,49.9421,2.6687,39.2256,2.67036,198639,0,0.979667,0.0961502,-717.708,439.212,-980.286,511.937,-1034.41,493.68,1200.95,1.09621,8.49399,0.108785,46.4657,2.60034,36.1759,2.60261,198966,0.002,0.719021,0.172456
